point_id,row,col,lon,lat
0,192,94,-72.02076602100702,4.339626390288791
1,357,42,-72.02543726048444,4.324804188100818
2,247,223,-72.00917775384187,4.334685656226133
3,198,277,-72.00432685130762,4.339087401118318
4,194,389,-71.99426572012548,4.339446727231967
5,278,130,-72.01753208598419,4.331900878845363
6,121,320,-72.00046409558591,4.346004428806038
7,167,366,-71.99633184527896,4.341872178499089
8,125,251,-72.00666247104634,4.345645102692391
9,260,164,-72.01447781401818,4.333517846356777
10,131,135,-72.01708292834212,4.345106113521919
11,205,275,-72.00450651436445,4.338458580419434
12,191,88,-72.02130501017749,4.339716221817202
13,292,114,-72.01896939043877,4.330643237447595
14,177,217,-72.00971674301235,4.34097386321497
15,254,278,-72.00423701977921,4.3340568355272495
16,295,195,-72.01169303663741,4.330373742862359
17,136,296,-72.0026200522678,4.344656955879859
18,320,150,-72.01573545541595,4.328127954652061
19,371,102,-72.02004736877971,4.323546546703051
20,143,365,-71.99642167680737,4.3440281351809755
21,347,25,-72.02696439646743,4.325702503384938
22,324,31,-72.02642540729697,4.327768628538412
23,112,195,-72.01169303663741,4.346812912561746
24,124,145,-72.016184613058,4.345734934220803
25,297,246,-72.00711162868839,4.330194079805535
26,283,228,-72.00872859619982,4.331451721203303
27,133,170,-72.0139388248477,4.3449264504650955
28,272,241,-72.00756078633046,4.332439868015834
29,116,286,-72.00351836755192,4.346453586448098
30,147,182,-72.01286084650677,4.343668809067328
31,218,293,-72.00288954685304,4.337290770550079
32,255,276,-72.00441668283604,4.333967003998837
33,212,109,-72.01941854808084,4.3378297597205515
34,216,244,-72.00729129174522,4.337470433606903
35,159,204,-72.0108845528817,4.342590830726385
36,334,32,-72.02633557576856,4.326870313254293
37,280,188,-72.01232185733629,4.331721215788538
38,240,259,-72.00594381881905,4.335314476925016
39,275,114,-72.01896939043877,4.332170373430598
40,96,196,-72.011603205109,4.3482502170163375
41,298,234,-72.00818960702934,4.330104248277124
42,216,344,-71.99830813890402,4.337470433606903
43,181,121,-72.01834056973989,4.340614537101322
44,193,201,-72.01115404746693,4.339536558760378
45,200,292,-72.00297937838145,4.338907738061494
46,237,125,-72.01798124362624,4.335583971510252
47,81,237,-72.00792011244411,4.349597689942517
48,273,56,-72.02417961908667,4.332350036487422
49,143,351,-71.99767931820514,4.3440281351809755
50,243,175,-72.01348966720565,4.335044982339781
51,328,38,-72.02579658659808,4.327409302424765
52,251,78,-72.0222033254616,4.334326330112485
53,176,277,-72.00432685130762,4.341063694743381
54,193,376,-71.99543352999484,4.339536558760378
55,197,336,-71.99902679113133,4.339177232646731
56,349,58,-72.02399995602984,4.325522840328114
57,209,99,-72.02031686336495,4.338099254305787
58,265,206,-72.01070488982488,4.333068688714718
59,267,289,-72.00324887296668,4.332889025657894
60,184,184,-72.01268118344994,4.340345042516086
61,177,225,-72.00899809078504,4.34097386321497
62,276,252,-72.00657263951793,4.332080541902187
63,87,188,-72.01232185733629,4.349058700772045
64,239,71,-72.02283214616048,4.335404308453429
65,251,63,-72.02355079838779,4.334326330112485
66,293,256,-72.00621331340427,4.330553405919183
67,93,149,-72.01582528694436,4.348519711601574
68,156,265,-72.00540482964857,4.34286032531162
69,99,138,-72.0168134337569,4.347980722431102
70,373,77,-72.02229315699002,4.323366883646227
71,272,101,-72.02013720030813,4.332439868015834
72,64,164,-72.01447781401818,4.35112482592552
73,304,198,-72.01142354205217,4.329565259106651
74,255,265,-72.00540482964857,4.333967003998837
75,191,287,-72.0034285360235,4.339716221817202
76,304,202,-72.01106421593852,4.329565259106651
77,134,301,-72.00217089462573,4.344836618936683
78,175,416,-71.99184026885837,4.3411535262717935
79,79,150,-72.01573545541595,4.34977735299934
80,97,201,-72.01115404746693,4.348160385487926
81,206,123,-72.01816090668306,4.338368748891023
82,376,70,-72.0229219776889,4.323097389060991
83,192,187,-72.0124116888647,4.339626390288791
84,164,373,-71.99570302458008,4.342141673084325
85,286,212,-72.0101659006544,4.331182226618067
86,237,237,-72.00792011244411,4.335583971510252
87,249,243,-72.00738112327363,4.334505993169309
88,199,164,-72.01447781401818,4.338997569589907
89,279,104,-72.01986770572289,4.33181104731695
90,186,150,-72.01573545541595,4.340165379459262
91,173,416,-71.99184026885837,4.341333189328617
92,268,140,-72.01663377070007,4.332799194129482
93,113,145,-72.016184613058,4.346723081033335
94,252,67,-72.02319147227414,4.334236498584073
95,168,355,-71.99731999209149,4.341782346970677
96,94,257,-72.00612348187586,4.348429880073161
97,221,115,-72.01887955891036,4.337021275964844
98,194,378,-71.99525386693801,4.339446727231967
99,295,221,-72.0093574168987,4.330373742862359
